para	pos	neg
1	1	0
2	1	0
3	3	4
4	3	7
5	2	4
6	2	3
7	2	3
8	1	5
9	1	3
10	1	0
11	0	1
12	2	1
13	0	1
14	1	2
15	1	0
16	1	1
17	3	1
18	3	0
19	3	0
20	2	0
21	1	0
22	2	0
23	2	0
24	6	2
25	2	0
26	5	0
27	1	0
28	2	1
29	1	0
30	1	0
31	2	1
32	2	0
33	2	0
34	2	0
35	6	1
36	1	1
37	1	0
38	1	2
39	4	0
40	0	3
41	1	0
42	6	0
43	1	0
44	2	0
45	3	0
46	1	1
47	1	0
48	1	5
49	0	3
50	2	0
51	1	1
52	2	0
53	3	1
54	0	1
55	7	0
56	2	0
57	3	0
58	5	0
59	4	5
60	1	2
61	2	0
62	2	1
63	1	0
64	1	1
65	1	1
66	2	0
67	0	1
68	2	0
69	1	1
70	1	1
71	3	0
72	3	0
73	3	1
74	0	1
75	4	0
76	3	0
77	0	1
78	1	0
79	5	2
80	0	1
81	0	1
82	2	0
83	0	1
84	1	0
85	1	2
86	2	1
87	2	0
88	3	0
89	1	1
90	2	0
91	0	1
92	1	0
93	0	1
94	1	0
95	5	0
96	1	1
97	4	0
98	1	0
99	2	0
100	2	0
101	1	1
102	0	1
103	1	0
104	1	0
105	2	3
106	1	0
107	4	3
108	1	0
109	4	0
110	3	0
111	6	0
112	2	1
113	1	1
114	0	1
115	1	2
116	1	0
117	4	0
118	3	0
119	1	0
120	2	0
121	2	0
122	1	0
123	2	0
124	3	0
125	7	0
126	3	0
127	3	0
128	1	0
129	1	0
130	1	0
131	3	0
132	3	0
133	2	0
134	2	0
135	1	0
136	2	0
137	2	0
138	2	0
139	2	0
140	1	0
141	1	0
142	1	0
143	0	1
144	2	0
145	5	0
146	3	1
147	1	2
148	1	0
149	0	1
150	4	0
151	1	0
152	0	1
153	1	0
154	1	2
155	1	0
156	2	0
157	5	0
158	4	0
159	1	0
160	2	0
161	1	0
162	3	0
163	2	2
164	1	0
165	2	0
166	3	0
167	2	0
168	0	2
169	4	0
170	1	0
171	8	1
172	0	5
173	1	0
174	1	1
175	0	5
176	0	1
177	3	0
178	4	0
179	2	1
180	2	1
181	2	2
182	1	0
183	2	2
184	6	1
185	3	1
186	2	0
187	8	1
188	4	0
189	1	2
190	0	2
191	5	1
192	4	0
193	1	0
194	3	0
195	4	1
196	1	0
197	1	2
198	1	2
199	0	2
200	1	7
201	2	2
202	0	1
